#Time       v(in)      i(Vin)    
 8.919E-9   1.8       -745.91E-6 
 9.157E-9   1.8       -745.91E-6 
 9.282E-9   1.8       -745.91E-6 
 9.407E-9   1.8       -745.91E-6 
 9.532E-9   1.8       -745.91E-6 
 9.657E-9   1.8       -745.91E-6 
 9.782E-9   1.8       -745.91E-6 
 9.907E-9   1.8       -745.91E-6 
 10.032E-9  1.8       -745.91E-6 
 10.157E-9  1.8       -745.91E-6 
 10.282E-9  1.8       -745.91E-6 
 10.535E-9  1.8       -745.91E-6 
 10.675E-9  1.8       -745.91E-6 
 10.815E-9  1.8       -745.91E-6 
 10.955E-9  1.8       -745.91E-6 
 11.095E-9  1.8       -761.5E-6  
 11.235E-9  1.8       -779.17E-6 
 11.375E-9  1.8       -782.82E-6 
 11.515E-9  1.8       -777.42E-6 
 11.655E-9  1.8       -772.38E-6 
 11.795E-9  1.8       -776.07E-6 
 11.935E-9  1.8       -790.6E-6  
 12.158E-9  1.8       -804.E-6   
 12.278E-9  1.8       -804.54E-6 
 12.543E-9  1.8       -806.73E-6 
 12.714E-9  1.8       -819.93E-6 
 12.885E-9  1.8       -833.22E-6 
 13.056E-9  1.8       -850.18E-6 
 13.227E-9  1.8       -871.77E-6 
 13.424E-9  1.8       -885.94E-6 
 13.621E-9  1.8       -908.65E-6 
 13.777E-9  1.8       -917.11E-6 
 13.933E-9  1.8       -919.3E-6  
 14.2E-9    1.8       -932.32E-6 
 14.373E-9  1.8       -940.1E-6  
 14.546E-9  1.8       -963.23E-6 
 14.719E-9  1.8       -0.0010046 
 15.056E-9  1.8       -0.0010983 
 15.241E-9  1.8       -0.0011344 
 15.426E-9  1.8       -0.0011608 
 15.795E-9  1.8       -0.0012591 
 15.98E-9   1.8       -0.0013114 
 16.165E-9  1.8       -0.0013573 
 16.446E-9  1.8       -0.0014612 
 16.641E-9  1.8       -0.0015663 
 17.046E-9  1.8       -0.0018591 
 17.451E-9  1.8       -0.0023404 
 17.856E-9  1.8       -0.0034999 
 18.109E-9  1.8       -0.0055266 
 18.362E-9  1.8       -0.01382   
 18.499E-9  1.8       -0.045389  
 18.589E-9  1.8       -0.18856   
 18.66E-9   1.8       -0.30092   
 18.731E-9  1.8       -0.30092   
 18.802E-9  1.8       -0.30092   
 18.911E-9  1.8       -0.30092   
 19.217E-9  1.8       -0.30092   
 19.681E-9  1.8       -0.30092   
 20.432E-9  1.8       -0.30092   
 22.08E-9   1.8       -0.30092   
 23.728E-9  1.8       -0.30092   
 27.085E-9  1.8       -0.30092   
 32.318E-9  1.8       -0.30092   
 46.709E-9  1.8       -0.30092   
 61.1E-9    1.8       -0.30092   
 97.075E-9  1.8       -0.30092   
 100.02E-9  1.8       -0.30092   
 100.03E-9  0.        -1.688E-12 
 100.04E-9  0.         0.        
 100.04E-9  0.         0.        
 100.05E-9  0.         0.        
 100.05E-9  0.         0.        
